Company,Product,TypeName,Inches,ScreenResolution,Name CPU,CPU Speed,Ram,Name Memory,Memory Capacity,Gpu,OpSys,Weight,Price_dollars



Lenovo,IdeaPad 120S-14IAP,Notebook,14,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,SSD,32GB,Intel HD Graphics 500,Windows 10,1.44,311.6516



Acer,Aspire E5-575,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,6,HDD,1024GB,Intel HD Graphics 620,Windows 10,2.23,585.9476999999999



Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Nvidia GeForce 940MX,Windows 10,1.7,1120.55827



HP,Elitebook 820,Ultrabook,12.5,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.26,1424.8455



Dell,XPS 15,Notebook,15.6,3840x2160,Intel Core i7 7700HQ,2.8GHz,32,SSD,1024GB,Nvidia GeForce GTX 1050,Windows 10,2.06,2816.6047



MSI,GL72M 7REX,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,256GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1279.6926999999998



Toshiba,Satellite Pro,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,2.0,1006.4639



Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,HDD,256GB,Intel HD Graphics 620,Windows 10,2,1423.7782



Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,Intel HD Graphics 520,Windows 10,1.85,479.2177



Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,SSD,256GB,Nvidia GeForce GTX 1050,Windows 10,2.5,1066.2327



HP,EliteBook 840,Notebook,14,1920x1080,Intel Core i5 7300U,2.6GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.48,1353.3364



Dell,Inspiron 7570,Ultrabook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,128GB,Nvidia GeForce 940MX,Windows 10,1.9,1119.5976999999998



HP,Elitebook 850,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.84,1220.9912



Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,HDD,1024GB,Intel HD Graphics 500,Linux,2,293.496827



Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Nvidia GeForce 940MX,Windows 10,2,1219.6570749999998



Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060,1.6GHz,4,HDD,500GB,Intel HD Graphics,Linux,2.2,293.40076999999997



Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1920x1080,AMD A12-Series 9720P,3.6GHz,12,HDD,2048GB,AMD Radeon 530,Windows 10,2.2,959.5026999999999



HP,ProBook 450,Notebook,15.6,1920x1080,Intel Core i3 7100U,2.4GHz,8,HDD,1024GB,Nvidia GeForce 930MX ,Windows 10,2.1,764.1868



Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,3840x2160,Intel Core i7 8550U,1.8GHz,16,SSD,512GB,Intel UHD Graphics 620,Windows 10,1.4,2240.2626999999998



Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.2,1685.2667



Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4,1204.9816999999998



HP,Stream 14-AX001nv,Notebook,14,1366x768,Intel Celeron Dual Core N3060,1.6GHz,2,SSD,32GB,Intel HD Graphics 400,Windows 10,1.44,297.77669999999995



Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i7 8650U,1.9GHz,16,SSD,512GB,Intel UHD Graphics 620,Windows 10,1.88,1716.175708



Asus,VivoBook Flip,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,SSD,32GB,Intel HD Graphics 500,Windows 10,1.5,400.23749999999995



Dell,Inspiron 5570,Ultrabook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,1024GB,AMD Radeon 530,Windows 10,1.9,707.6198999999999



Dell,XPS 15,Notebook,15.6,3840x2160,Intel Core i7 7700HQ,2.8GHz,16,SSD,512GB,Nvidia GeForce GTX 1050,Windows 10,2.06,2163.865366



HP,Elitebook 850,Notebook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.84,1391.7592



MSI,GP72MVR 7RFX,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,128GB,Nvidia GeForce GTX 1060,Windows 10,2.7,1503.8256999999999



HP,Zbook 15,Workstation,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,SSD,256GB,Nvidia Quadro M1200,Windows 10,2.6,1855.255571



Toshiba,Tecra A50-C-21G,Notebook,15.6,1920x1080,Intel Core i7 6500U,2.5GHz,16,SSD,512GB,Nvidia GeForce 930M,Windows 10,2.4,1497.4218999999998



Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,HDD,128GB,AMD Radeon 530,Windows 10,2.02,1036.24157



Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,HDD,1024GB,Intel HD Graphics 500,No OS,2.2,343.659927



Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,2.5GHz,8,HDD,1024GB,Nvidia GeForce GTX 1050,Windows 10,2.65,1066.2327



Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,8,HDD,2048GB,Intel HD Graphics 620,Windows 10,2.36,594.881001



Dell,Latitude 7480,Notebook,14,1920x1080,Intel Core i5 7300U,2.6GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.36,1523.0370999999998



HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U,2GHz,4,HDD,500GB,Intel HD Graphics 520,Windows 10,1.86,468.5447



Asus,Zenbook UX410UA-GV027T,Notebook,14,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,2,1008.5985



Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U,2.5GHz,6,HDD,128GB,Nvidia GeForce GTX 940MX,Windows 10,2.8,767.3887



HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,HDD,1024GB,Intel HD Graphics 620,Windows 10,1.86,682.0047



Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U,2GHz,8,SSD,256GB,Nvidia GeForce 920MX ,No OS,2.2,532.5826999999999



HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,1366x768,Intel Pentium Quad Core N3710,1.6GHz,8,HDD,2048GB,Intel HD Graphics 405,Windows 10,2.04,415.17969999999997



Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,128GB,AMD Radeon 530,Windows 10,2.8,1158.0204999999999



Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,2.5GHz,8,HDD,128GB,Nvidia GeForce GTX 1050,No OS,2.4,863.4457



Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,AMD Radeon R7 M445,Windows 10,2.33,959.5026999999999



HP,Elitebook 1040,Ultrabook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.36,1867.7749999999999



Asus,ZenBook Flip,2 in 1 Convertible,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,12,HDD,512GB,Nvidia GeForce GT 940MX,Windows 10,2.26,1172.9626999999998



Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420,3GHz,4,SSD,128GB,AMD Radeon R5,Windows 10,2.1,454.66979999999995



Asus,Rog Strix,Gaming,17.3,1920x1080,AMD Ryzen 1700,3GHz,16,HDD,256GB,AMD Radeon RX 580,Windows 10,3.25,2346.9927



Lenovo,IdeaPad 110-17ACL,Notebook,17.3,1600x900,AMD A8-Series 7410,2.2GHz,4,SSD,128GB,AMD Radeon R5,Windows 10,2.6,521.9096999999999



Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.62,927.4943729999999



HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,1920x1080,AMD A9-Series 9420,3GHz,4,SSD,256GB,AMD Radeon R5,Windows 10,1.91,521.8990269999999



Lenovo,Yoga 11e,Netbook,11.6,1366x768,Intel Celeron Quad Core N3450,1.1GHz,4,SSD,128GB,Intel HD Graphics 500,Windows 10,1.59,590.2169



Dell,Inspiron 3552,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060,1.60GHz,4,HDD,500GB,Intel HD Graphics 400,Windows 10,1.8,329.79569999999995



Asus,VivoBook E403NA,Notebook,14,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,SSD,32GB,Intel HD Graphics 500,Windows 10,1.5,305.2478



Acer,Aspire 7,Notebook,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,1024GB,Nvidia GeForce GTX 1050,Linux,2.4,902.9358



HP,Omen 17-w212nv,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,128GB,Nvidia GeForce GTX 1050,Windows 10,3.35,1271.1543



Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,SSD,128GB,Intel HD Graphics 520,No OS,1.85,430.65554999999995



Asus,ROG Strix,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,128GB,Nvidia GeForce GTX 1060,Windows 10,2.3,1766.3815



Lenovo,IdeaPad 720S-14IKB,Notebook,14,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Nvidia GeForce 940MX,Windows 10,1.5,1172.9626999999998



Asus,Zenbook Flip,Ultrabook,13.3,1920x1080,Intel Core i7 7500U,2.7GHz,16,SSD,512GB,Intel HD Graphics 620,Windows 10,1.1,1866.60097



Lenovo,Thinkpad X1,Ultrabook,14,2560x1440,Intel Core i7 7500U,2.7GHz,8,SSD,512GB,Intel HD Graphics 620,Windows 10,1.13,2435.5786



Lenovo,Ideapad 510S-13IKB,Notebook,13.3,1920x1080,Intel Core i3 7100U,2.4GHz,4,SSD,128GB,Intel HD Graphics 620,Windows 10,1.5,585.9476999999999



Dell,Precision 3510,Workstation,15.6,1920x1080,Intel Core i5 6440HQ,2.6GHz,8,HDD,500GB,AMD FirePro W5130M,Windows 10,2.23,1461.1336999999999



Dell,Precision 5520,Workstation,15.6,1920x1080,Intel Core i7 6820HQ,2.7GHz,8,SSD,256GB,Nvidia Quadro M1200,Windows 10,2,2278.6854999999996



Lenovo,ThinkPad X1,2 in 1 Convertible,14,2560x1440,Intel Core i7 7500U,2.7GHz,16,SSD,512GB,Intel HD Graphics 620,Windows 10,1.42,2677.8556999999996



Asus,Rog GL753VD-GC042T,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,1024GB,Nvidia GeForce GTX 1050,Windows 10,3,1108.9246999999998



Asus,Rog GL753VE-GC070T,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1050 Ti,Windows 10,3,1698.0742999999998



Acer,Aspire 5,Notebook,15.6,1366x768,Intel Core i5 8250U,1.6GHz,12,HDD,1024GB,Nvidia GeForce MX130,Windows 10,2.2,740.695527



MSI,Leopard GP72M,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,SSD,256GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1439.7876999999999



Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,AMD Radeon R7 M445,Linux,2.33,831.2879509999999



HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,1920x1080,AMD A9-Series 9420,3GHz,4,SSD,256GB,AMD Radeon 520,Windows 10,1.91,532.5826999999999



Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,AMD Radeon RX 550,Windows 10,2.1,1312.309388



Lenovo,ThinkPad L470,Notebook,14,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.9,1001.1274



Dell,Precision M5520,Workstation,15.6,3840x2160,Intel Core i7 7700HQ,2.8GHz,8,SSD,256GB,Nvidia Quadro M1200,Windows 10,1.78,2894.5175999999997



Lenovo,Thinkpad X1,Ultrabook,14,2560x1440,Intel Core i7 7500U,2.7GHz,16,SSD,1024GB,Intel HD Graphics 620,Windows 10,1.13,2801.6625



Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350,1.1GHz,4,HDD,1024GB,Intel HD Graphics 500,Windows 10,2.2,326.5938



Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1050,Windows 10,2.9,1631.9017



Lenovo,ThinkPad E580,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,256GB,AMD Radeon RX 550,Windows 10,2.1,1221.52485



Acer,Aspire 7,Notebook,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,SSD,256GB,Nvidia GeForce GTX 1050,Linux,2.5,938.1566999999999



MSI,GE73VR 7RF,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,16,HDD,256GB,Nvidia GeForce GTX 1070,Windows 10,2.8,2400.3577



Asus,Zenbook 3,Ultrabook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,512GB,Intel HD Graphics 620,Windows 10,1.10,1999.0529



Toshiba,Portege Z30-C-16P,Ultrabook,13.3,1920x1080,Intel Core i7 6500U,2.5GHz,16,SSD,512GB,Intel HD Graphics 520,Windows 10,1.2,1864.5730999999998



Dell,Latitude 7480,Ultrabook,14,1920x1080,Intel Core i7 7600U,2.8GHz,8,SSD,512GB,Intel HD Graphics,Windows 10,1.36,1793.0639999999999



Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,500GB,Intel HD Graphics 520,Windows 10,2.2,436.5257



Lenovo,Lenovo IdeaPad,Notebook,11.6,1366x768,Intel Celeron Dual Core N3350,1.1GHz,2,SSD,32GB,Intel HD Graphics 500,Windows 10,1.15,324.93948499999993



Lenovo,ThinkPad P51,Workstation,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,SSD,512GB,Nvidia Quadro M1200,Windows 10,2.67,2054.5525



Lenovo,Thinkpad T470p,Ultrabook,14,2560x1440,Intel Core i7 7700HQ,2.8GHz,8,SSD,512GB,Nvidia GeForce GT 940MX,Windows 10,1.7,2073.7639



HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,AMD Radeon 520,Windows 10,2.1,500.5637



Acer,Aspire R7,2 in 1 Convertible,13.3,1920x1080,Intel Core i7 6500U,2.5GHz,8,SSD,256GB,Intel HD Graphics 520,Windows 10,1.6,842.1103729999999



Asus,ZenBook Flip,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.27,990.4544



Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,4,SSD,256GB,AMD Radeon R5 M430,Linux,2.3,639.20597



Dell,Latitude 3380,Notebook,13.3,1366x768,Intel Core i3 6006U,2GHz,4,SSD,128GB,Intel HD Graphics 520,Windows 10,1.65,735.3697



HP,EliteBook 1040,Ultrabook,14,1920x1080,Intel Core i7 6500U,2.5GHz,8,SSD,256GB,Intel HD Graphics 520,Windows 10,1.43,1600.9499999999998



Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,8,HDD,1024GB,Intel HD Graphics 620,Windows 10,2.14,576.288635



Lenovo,ThinkPad E480,Ultrabook,14,1920x1080,Intel Core i7 8550U,1.8GHz,8,SSD,256GB,AMD Radeon RX 550,Windows 10,1.75,1297.175074



Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,3840x2160,Intel Core i7 7700HQ,2.8GHz,16,SSD,512GB,Nvidia GeForce GTX 1050,Windows 10,2,2026.8026999999997



Chuwi,LapBook 12.3,Notebook,12.3,2736x1824,Intel Celeron Quad Core N3450,1.1GHz,6,SSD,64GB,Intel HD Graphics 500,Windows 10,1.4,479.2177



HP,ProBook 650,Notebook,15.6,1920x1080,Intel Core i7 7820HQ,2.9GHz,8,SSD,256GB,Intel HD Graphics 630,Windows 10,2.31,1523.0370999999998



Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,1920x1080,Intel Core i3 7100U,2.4GHz,8,HDD,1024GB,Nvidia GeForce 940MX,Linux,2.3,637.1781



Dell,Alienware 17,Gaming,17.3,2560x1440,Intel Core i7 7820HK,2.9GHz,16,HDD,256GB,Nvidia GeForce GTX 1070,Windows 10,4.42,2987.3727



Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,128GB,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,1237.0006999999998



Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,HDD,256GB,AMD Radeon 530,Windows 10,2.02,1219.28352



Dell,Latitude 5480,Ultrabook,14,1920x1080,Intel Core i7 7600U,2.8GHz,8,SSD,256GB,Intel HD Graphics 620,Linux,1.6,1172.9626999999998



HP,Omen 17-w207nv,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,12,HDD,256GB,Nvidia GeForce GTX 1070,Windows 10,3.35,2133.5326999999997



Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,1920x1080,Intel Celeron Dual Core N3350,1.1GHz,4,SSD,32GB,Intel HD Graphics 500,Windows 10,1.16,319.12269999999995



Samsung,Chromebook 3,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060,1.6GHz,4,SSD,16GB,Intel HD Graphics 400,Chrome OS,1.15,287.1037



Lenovo,Thinkpad 13,Notebook,13.3,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.4,1077.973



Lenovo,IdeaPad 320s-14IKB,Notebook,14,1920x1080,Intel Core i3 7130U,2.7GHz,4,SSD,128GB,Intel HD Graphics 620,Windows 10,1.7,639.3127



Lenovo,Thinkpad T570,Workstation,15.6,3840x2160,Intel Core i7 7600U,2.8GHz,16,SSD,512GB,Nvidia GeForce 940MX,Windows 10,2.3,2609.5485



Lenovo,Thinkpad P51,Notebook,15.6,1920x1080,Intel Core i7 7820HQ,2.9GHz,16,SSD,512GB,Nvidia Quadro M2200M,Windows 10,2.5,2613.8176999999996



Asus,Rog Strix,Gaming,17.3,1920x1080,AMD Ryzen 1600,3.2GHz,8,HDD,256GB,AMD Radeon RX 580,Windows 10,3.2,1809.0735



HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,1366x768,Intel Celeron Dual Core N3060,1.6GHz,4,HDD,500GB,Intel HD Graphics 400,Windows 10,2.1,370.3531



Google,Pixelbook (Core,Ultrabook,12.3,2400x1600,Intel Core i7 7Y75,1.3GHz,16,SSD,512GB,Intel HD Graphics 615,Chrome OS,1.1,2346.9927



Lenovo,ThinkPad T470s,Ultrabook,14,2560x1440,Intel Core i7 7500U,2.7GHz,24,SSD,512GB,Intel HD Graphics 620,Windows 10,1.32,2542.3086



Asus,VivoBook Max,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,4,SSD,256GB,Intel HD Graphics 620,Linux,2,596.6206999999999



Lenovo,IdeaPad 320-15AST,Notebook,17.3,1600x900,AMD A6-Series 9220,2.5GHz,8,HDD,1024GB,AMD Radeon R4,Windows 10,2.8,553.9286999999999



Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,4,SSD,256GB,AMD Radeon 530,Windows 10,2.2,799.4077



Lenovo,ThinkPad X270,Ultrabook,12.5,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.36,1525.1716999999999



Lenovo,IdeaPad 320-15IAP,Notebook,15.6,1920x1080,Intel Pentium Quad Core N4200,1.1GHz,4,SSD,128GB,Intel HD Graphics 505,Windows 10,2.2,372.48769999999996



HP,Omen 15-AX205na,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,2.8GHz,8,HDD,128GB,Nvidia GeForce GTX 1050,Windows 10,2.2,1172.9626999999998



Dell,Latitude 5480,Notebook,14,1920x1080,Intel Core i5 7440HQ,2.8GHz,8,SSD,256GB,Nvidia GeForce 930MX,Windows 10,1.64,1258.3466999999998



Acer,Aspire ES1-572,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,4,HDD,500GB,Intel HD Graphics 620,Linux,2.4,471.53314



Dell,Precision 3520,Workstation,15.6,1920x1080,Intel Xeon E3-1505M V6,3GHz,8,HDD,64GB,Nvidia Quadro M620,Windows 10,2.23,2127.1288999999997



MSI,GV62 7RD-1686NL,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,2.5GHz,8,SSD,256GB,Nvidia GeForce GTX 1050,Windows 10,2.2,1096.906902



Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i7 7660U,2.5GHz,16,SSD,512GB,Intel Iris Plus Graphics 640,Windows 10 S,1.25,2763.2396999999996



HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,8,SSD,128GB,Intel HD Graphics 620,Windows 10,1.91,628.6397



Dell,Precision 3520,Workstation,15.6,1920x1080,Intel Core i7 6820HQ,2.7GHz,16,SSD,256GB,Nvidia Quadro M620,Windows 10,2.17,2107.9175



HP,ProBook 650,Workstation,15.6,1920x1080,Intel Core i7 7820HQ,2.9GHz,8,SSD,512GB,Intel HD Graphics 620,Windows 10,2.31,1637.2381999999998



Lenovo,ThinkPad T470,Notebook,14,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,Windows 10,1.65,1435.5185



Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7 8550U,1.8GHz,8,HDD,128GB,AMD Radeon 530,Windows 10,2.36,1044.8867



Dell,Inspiron 3168,2 in 1 Convertible,11.6,1366x768,Intel Pentium Quad Core N3710,1.6GHz,4,HDD,500GB,Intel HD Graphics 405,Windows 10,1.47,511.2367



Dell,Alienware 17,Notebook,17.3,1920x1080,Intel Core i7 7700HQ,2.7GHz,8,HDD,1024GB,Nvidia GeForce GTX 1060,Windows 10,4.42,2183.6958



Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core M m3-7Y30,2.2GHz,4,SSD,128GB,Intel HD Graphics 615,Windows 10 S,1.252,1055.5597



Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i7 7660U,2.5GHz,8,SSD,256GB,Intel Iris Plus Graphics 640,Windows 10 S,1.25,1920.0727



HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Notebook,17.3,1600x900,Intel Core i3 6006U,2GHz,8,SSD,256GB,Intel HD Graphics 520,Windows 10,2.5,682.9652699999999



Acer,Aspire E5-576G,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,1024GB,Nvidia GeForce 940MX,Windows 10,2.23,580.6111999999999



Acer,TravelMate B,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060,1.6GHz,4,SSD,128GB,Intel HD Graphics 400,Windows 10,1.4,464.27549999999997



Asus,Pro P2540UA-AB51,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,HDD,1024GB,Intel HD Graphics 620,Windows 10,2.37,799.4077



Lenovo,IdeaPad 510s-14IKB,Notebook,14,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,512GB,AMD Radeon R7 M460,No OS,1.5,852.7727



Lenovo,Thinkpad P51,Notebook,15.6,1920x1080,Intel Core i7 7820HQ,2.9GHz,8,SSD,256GB,Nvidia Quadro M2200M,Windows 10,2.67,2230.6569999999997



Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Notebook,15.6,1366x768,Intel Pentium Quad Core N4200,1.1GHz,4,HDD,500GB,Intel HD Graphics 500,Windows 10,2,324.45919999999995



Acer,Aspire 5,Notebook,15.6,1366x768,Intel Core i3 6006U,2GHz,4,HDD,500GB,Nvidia GeForce GTX 940MX,Windows 10,2.2,500.5637



Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5 8250U,1.6GHz,8,HDD,2048GB,AMD Radeon 530,Windows 10,2.02,810.0807



HP,Omen 17-an006nv,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,2.8GHz,12,HDD,1024GB,Nvidia GeForce GTX 1060,Windows 10,3.78,1813.3427



Lenovo,Thinkpad T460s,Ultrabook,14,2560x1440,Intel Core i7 6600U,2.6GHz,12,SSD,256GB,Intel HD Graphics 520,Windows 10,1.4,1983.0433999999998



HP,Spectre x360,2 in 1 Convertible,13.3,3840x2160,Intel Core i7 8550U,1.8GHz,8,SSD,512GB,Intel UHD Graphics 620,Windows 10,1.29,2133.5326999999997



HP,ZBook 15u,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,HDD,500GB,AMD FirePro W4190M ,Windows 10,1.9,1231.6642



Google,Pixelbook (Core,Ultrabook,12.3,2400x1600,Intel Core i5 7Y57,1.2GHz,8,SSD,128GB,Intel HD Graphics 615,Chrome OS,1.1,1360.8075



